eps,n,cost
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,40,1394666.50
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,50,1882779.06
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,60,2418380.17
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,70,2623246.90
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
